evaluation_context,canonical_or_extension,window_label,window_seconds,step_seconds,model_name,status,precision,recall,f1,average_precision,roc_auc,false_positive_rate,mean_detection_latency_seconds,median_detection_latency_seconds,inference_time_ms_per_prediction,ready_package_dir,metrics_source,notes,threshold,threshold_method,feature_count,seq_len,training_time_seconds,inference_time_seconds,parameter_count,model_size_bytes,evaluated_sequences,attack_sequences,prediction_path,true_positive,false_positive,true_negative,false_negative,train_sequences,val_sequences,test_sequences,heldout_sequences
canonical_benchmark_test_split,canonical,10s,10,2,lstm,completed,0.0936266215454032,0.9952038369304556,0.1711516651201154,0.4058006446728179,0.4397398074073411,1.0,351.46153846153845,273.0,0.013536745969049,<repo>/outputs\window_size_study\10s\ready_packages\lstm,<repo>/outputs\window_size_study\10s\ready_packages\lstm\metrics.json,,,,,,,,,,,,,,,,,,,,
canonical_benchmark_test_split,extension,10s,10,2,ttm_extension,not_run,,,,,,,,,,,,No evidenced TTM benchmark artifact exists for this window in the repo.,,,,,,,,,,,,,,,,,,,
canonical_benchmark_test_split,extension_blocked,10s,10,2,arima,not_implemented,,,,,,,,,,,,No ARIMA detector implementation exists in the repository.,,,,,,,,,,,,,,,,,,,
canonical_benchmark_test_split,blocked,60s,60,12,lstm_ae,not_implemented,,,,,,,,,,,,No LSTM autoencoder detector implementation exists; MLP autoencoder is reported separately as `autoencoder`.,,,,,,,,,,,,,,,,,,,
canonical_benchmark_test_split,canonical,60s,60,12,transformer,completed,0.6923076923076923,1.0,0.8181818181818182,0.906840310563302,0.9974155320221888,0.0121028744326777,641.0,601.0,0.0218714285679284,<repo>/outputs\window_size_study\60s\ready_packages\transformer,<repo>/outputs\window_size_study\60s\ready_packages\transformer\metrics.json,,,,,,,,,,,,,,,,,,,,
canonical_benchmark_test_split,canonical,60s,60,12,gru,completed,0.775,0.8611111111111112,0.8157894736842105,0.7949759950169492,0.9954824340225248,0.0068078668683812,641.0,601.0,0.0303034609710795,<repo>/outputs\window_size_study\60s\ready_packages\gru,<repo>/outputs\window_size_study\60s\ready_packages\gru\metrics.json,,,,,,,,,,,,,,,,,,,,
canonical_benchmark_test_split,canonical,60s,60,12,autoencoder,completed,0.0887372013651877,0.8227848101265823,0.1601971657424522,0.4024862969142441,0.3851865028836791,0.9874260355029586,402.0,361.0,0.00662834437081,<repo>/outputs\window_size_study\60s\ready_packages\autoencoder,<repo>/outputs\window_size_study\60s\ready_packages\autoencoder\metrics.json,Repo implementation is an MLP autoencoder; no LSTM autoencoder artifact exists.,,,,,,,,,,,,,,,,,,,
canonical_benchmark_test_split,canonical,60s,60,12,isolation_forest,completed,0.2227204783258595,0.9430379746835444,0.3603385731559855,0.5142847062985655,0.8592802037300578,0.3846153846153846,384.0,319.0,0.0238808609266913,<repo>/outputs\window_size_study\60s\ready_packages\isolation_forest,<repo>/outputs\window_size_study\60s\ready_packages\isolation_forest\metrics.json,,,,,,,,,,,,,,,,,,,,
canonical_benchmark_test_split,canonical,60s,60,12,threshold_baseline,completed,0.7899159663865546,0.5949367088607594,0.6787003610108303,0.60670919398946,0.6076604748707961,0.018491124260355,509.0,469.0,0.0010049006622593,<repo>/outputs\window_size_study\60s\ready_packages\threshold_baseline,<repo>/outputs\window_size_study\60s\ready_packages\threshold_baseline\metrics.json,,,,,,,,,,,,,,,,,,,,
canonical_benchmark_test_split,canonical,60s,60,12,lstm,completed,0.75,0.8333333333333334,0.7894736842105263,0.7856615715152153,0.9947470163052614,0.0075642965204236,641.0,601.0,0.0178593519905946,<repo>/outputs\window_size_study\60s\ready_packages\lstm,<repo>/outputs\window_size_study\60s\ready_packages\lstm\metrics.json,,,,,,,,,,,,,,,,,,,,
canonical_benchmark_test_split,extension,60s,60,12,ttm_extension,completed,0.6341463414634146,0.8387096774193549,0.7222222222222222,0.6785195412911948,0.9939301972685888,,706.6,625.0,0.8715358043007128,<repo>/outputs\phase1_ttm_extension,<repo>/phase1_ttm_results.csv,Extension only. Real TTM benchmark evidence exists at 60s only.,,,,,,,,,,,,,,,,,,,
canonical_benchmark_test_split,extension_blocked,60s,60,12,arima,not_implemented,,,,,,,,,,,,No ARIMA detector implementation exists in the repository.,,,,,,,,,,,,,,,,,,,
canonical_benchmark_test_split,blocked,300s,300,60,lstm_ae,not_implemented,,,,,,,,,,,,No LSTM autoencoder detector implementation exists; MLP autoencoder is reported separately as `autoencoder`.,,,,,,,,,,,,,,,,,,,
canonical_benchmark_test_split,canonical,300s,300,60,transformer,completed,0.2307692307692307,0.75,0.3529411764705882,0.2084595959595959,0.9669117647058824,0.0367647058823529,871.0,841.0,0.0508307971029063,<repo>/outputs\window_size_study\300s\ready_packages\transformer,<repo>/outputs\window_size_study\300s\ready_packages\transformer\metrics.json,,,,,,,,,,,,,,,,,,,,
canonical_benchmark_test_split,canonical,300s,300,60,gru,completed,0.2142857142857142,0.75,0.3333333333333333,0.4541666666666666,0.9779411764705884,0.0404411764705882,871.0,841.0,0.023428260897492,<repo>/outputs\window_size_study\300s\ready_packages\gru,<repo>/outputs\window_size_study\300s\ready_packages\gru\metrics.json,,,,,,,,,,,,,,,,,,,,
