model_variant,split,example_count,family_accuracy_normalized,asset_any_overlap_rate,asset_overlap_jaccard_mean,confidence_accuracy_normalized,mean_latency_ms,median_latency_ms,improvement_pass_action
base_zero_shot,aux_in_domain_holdout,16,0.0,0.0,0.0,0.0,506.154875,486.144,post-hoc label normalization and asset-overlap audit of real prediction files
base_zero_shot,test_generator_heldout,47,0.0,0.0,0.0,0.0,592.2875531914893,585.559,post-hoc label normalization and asset-overlap audit of real prediction files
base_zero_shot,validation_generator_heldout,29,0.0,0.0,0.0,0.0,557.5066551724137,583.68,post-hoc label normalization and asset-overlap audit of real prediction files
lora_finetuned,aux_in_domain_holdout,16,0.5625,0.0,0.0,0.25,3401.7721875,3430.6125,post-hoc label normalization and asset-overlap audit of real prediction files
lora_finetuned,test_generator_heldout,47,0.23404255319148937,0.0,0.0,0.425531914893617,3507.0338510638294,3551.446,post-hoc label normalization and asset-overlap audit of real prediction files
lora_finetuned,validation_generator_heldout,29,0.0,0.0,0.0,0.1724137931034483,3507.0784827586203,3538.297,post-hoc label normalization and asset-overlap audit of real prediction files
