evaluation_context,canonical_or_extension,model_name,window_label,window_seconds,step_seconds,status,threshold,threshold_method,feature_count,seq_len,training_time_seconds,inference_time_seconds,inference_time_ms_per_prediction,parameter_count,model_size_bytes,mean_detection_latency_seconds,median_detection_latency_seconds,evaluated_sequences,attack_sequences,prediction_path,notes,precision,recall,f1,average_precision,roc_auc,false_positive_rate,true_positive,false_positive,true_negative,false_negative,train_sequences,val_sequences,test_sequences,heldout_sequences
heldout_synthetic_zero_day_like_extension,extension,lstm_autoencoder,60s,60,12,completed,1.2051798570688874,validation_f1_sweep,64,12,1.5338844999987487,0.0974540999995952,0.027844028571312913,45440,181760,,,3500,135,outputs/phase1_lstm_autoencoder_extension/predictions/lstm_autoencoder_60s_claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2.parquet,Heldout synthetic replay residuals from claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2; extension evaluation only.,0.0,0.0,0.0,0.03499289522686006,0.4763172087391998,0.0,0,0,3365,135,,,,3500.0
heldout_synthetic_zero_day_like_extension,extension,lstm_autoencoder,60s,60,12,completed,1.2051798570688874,validation_f1_sweep,64,12,1.5338844999987487,0.10119479999957548,0.028912799999878707,45440,181760,,,3500,210,outputs/phase1_lstm_autoencoder_extension/predictions/lstm_autoencoder_60s_claude__repaired_heldout_bundle__claude_phase2_llm_benchmark_v2_repaired.parquet,Heldout synthetic replay residuals from claude__repaired_heldout_bundle__claude_phase2_llm_benchmark_v2_repaired; extension evaluation only.,0.0,0.0,0.0,0.09750435354655501,0.5626979302359241,0.0,0,0,3290,210,,,,3500.0
heldout_synthetic_zero_day_like_extension,extension,lstm_autoencoder,60s,60,12,completed,1.2051798570688874,validation_f1_sweep,64,12,1.5338844999987487,0.10785459999897284,0.030815599999706525,45440,181760,,,3500,149,outputs/phase1_lstm_autoencoder_extension/predictions/lstm_autoencoder_60s_gemini__existing_heldout_phase2_bundle__phase2_llm_synthetic_benchmark_002.parquet,Heldout synthetic replay residuals from gemini__existing_heldout_phase2_bundle__phase2_llm_synthetic_benchmark_002; extension evaluation only.,0.0,0.0,0.0,0.03323944442382972,0.40948409670357844,0.0,0,0,3351,149,,,,3500.0
heldout_synthetic_zero_day_like_extension,extension,lstm_autoencoder,60s,60,12,completed,1.2051798570688874,validation_f1_sweep,64,12,1.5338844999987487,0.10180080000100133,0.02908594285742895,45440,181760,,,3500,233,outputs/phase1_lstm_autoencoder_extension/predictions/lstm_autoencoder_60s_gemini__repaired_heldout_bundle__phase2_llm_synthetic_benchmark_002_repaired.parquet,Heldout synthetic replay residuals from gemini__repaired_heldout_bundle__phase2_llm_synthetic_benchmark_002_repaired; extension evaluation only.,0.0,0.0,0.0,0.062341527667313004,0.5021840199366536,0.0,0,0,3267,233,,,,3500.0
canonical_benchmark_test_split_extension,extension,lstm_autoencoder,300s,300,60,completed,1.1312811527571869,validation_f1_sweep,64,4,0.16996929999913846,0.00655929999993532,0.02082317460296927,45440,181760,1860.0,1860.0,315,34,outputs/phase1_lstm_autoencoder_extension/predictions/lstm_autoencoder_300s_canonical_test.parquet,LSTM autoencoder extension trained on benign canonical residual windows. It is distinct from the existing MLP autoencoder and does not alter canonical model selection.,0.08,0.4117647058823529,0.1339712918660287,0.16131188344116765,0.39847184425371573,0.5729537366548043,14,161,120,20,766.0,273.0,315.0,
heldout_synthetic_zero_day_like_extension,extension,lstm_autoencoder,300s,300,60,completed,1.1312811527571869,validation_f1_sweep,64,4,0.16996929999913846,0.0342700999990484,0.023931634077547764,45440,181760,,,1432,73,outputs/phase1_lstm_autoencoder_extension/predictions/lstm_autoencoder_300s_chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c.parquet,Heldout synthetic replay residuals from chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c; extension evaluation only.,0.0,0.0,0.0,0.05569479715033758,0.4874807221264628,0.0,0,0,1359,73,,,,1432.0
heldout_synthetic_zero_day_like_extension,extension,lstm_autoencoder,300s,300,60,completed,1.1312811527571869,validation_f1_sweep,64,4,0.16996929999913846,0.022488599999633152,0.015704329608682368,45440,181760,,,1432,72,outputs/phase1_lstm_autoencoder_extension/predictions/lstm_autoencoder_300s_claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2.parquet,Heldout synthetic replay residuals from claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2; extension evaluation only.,0.0,0.0,0.0,0.060753772961096617,0.5376123366013073,0.0,0,0,1360,72,,,,1432.0
heldout_synthetic_zero_day_like_extension,extension,lstm_autoencoder,300s,300,60,completed,1.1312811527571869,validation_f1_sweep,64,4,0.16996929999913846,0.022214599999642815,0.015512988826566211,45440,181760,,,1432,73,outputs/phase1_lstm_autoencoder_extension/predictions/lstm_autoencoder_300s_gemini__existing_heldout_phase2_bundle__phase2_llm_synthetic_benchmark_002.parquet,Heldout synthetic replay residuals from gemini__existing_heldout_phase2_bundle__phase2_llm_synthetic_benchmark_002; extension evaluation only.,0.0,0.0,0.0,0.038855097292582616,0.38187829487838554,0.0,0,0,1359,73,,,,1432.0
heldout_synthetic_zero_day_like_extension,extension,lstm_autoencoder,300s,300,60,completed,1.1312811527571869,validation_f1_sweep,64,4,0.16996929999913846,0.02271159999872907,0.015860055865034268,45440,181760,41580.0,41580.0,1432,84,outputs/phase1_lstm_autoencoder_extension/predictions/lstm_autoencoder_300s_grok__existing_heldout_phase2_bundle__phase2_llm_benchmark_grok_synthetic_03.parquet,Heldout synthetic replay residuals from grok__existing_heldout_phase2_bundle__phase2_llm_benchmark_grok_synthetic_03; extension evaluation only.,0.5,0.10714285714285714,0.17647058823529413,0.1509217136279732,0.4601879327398615,0.0066765578635014835,9,9,1339,75,,,,1432.0
heldout_synthetic_zero_day_like_extension,extension,lstm_autoencoder,300s,300,60,completed,1.1312811527571869,validation_f1_sweep,64,4,0.16996929999913846,0.023825799999031005,0.01663812849094344,45440,181760,38580.0,38580.0,1432,67,outputs/phase1_lstm_autoencoder_extension/predictions/lstm_autoencoder_300s_human_authored__human_authored_heldout__human_authored_phase3_bundle_v1.parquet,Heldout synthetic replay residuals from human_authored__human_authored_heldout__human_authored_phase3_bundle_v1; extension evaluation only.,0.0425531914893617,0.208955223880597,0.0707070707070707,0.21158351875972167,0.595888688426002,0.23076923076923078,14,315,1050,53,,,,1432.0
