artifact_path,artifact_type,phase,exists,nonempty,last_modified,referenced_by_reports,needs_verification,notes
outputs/window_size_study/5s/ready_packages/threshold_baseline/feature_columns.json,json,phase1,True,True,2026-04-18 23:49:20.927174807,,True,
outputs/window_size_study/5s/ready_packages/threshold_baseline/metrics.json,json,phase1,True,True,2026-04-18 23:49:20.930174112,,True,
outputs/window_size_study/5s/ready_packages/threshold_baseline/model_manifest.json,json,phase1,True,True,2026-04-18 23:49:20.952174187,,True,
outputs/window_size_study/5s/ready_packages/threshold_baseline/predictions.parquet,parquet,phase1,True,True,2026-04-18 23:49:20.951173544,deployment_runtime/docs/deployment_contract.md;outputs/window_size_study/professor_graph_package/PROFESSOR_GRAPH_PACKAGE_SUMMARY.md;reports/generated_report.md,True,
outputs/window_size_study/5s/ready_packages/threshold_baseline/preprocessing.pkl,checkpoint,phase1,True,True,2026-04-18 23:49:20.926174402,,False,
outputs/window_size_study/5s/ready_packages/threshold_baseline/split_summary.json,json,phase1,True,True,2026-04-18 23:49:20.931173563,,True,
outputs/window_size_study/5s/ready_packages/threshold_baseline/thresholds.json,json,phase1,True,True,2026-04-18 23:49:20.928174257,,True,
outputs/window_size_study/5s/ready_packages/threshold_baseline/training_history.json,json,phase1,True,True,2026-04-18 23:49:20.930174112,,True,
outputs/window_size_study/5s/ready_packages/transformer/calibration.json,json,phase1,True,True,2026-04-19 09:32:34.283593416,,True,
outputs/window_size_study/5s/ready_packages/transformer/checkpoint.pt,checkpoint,phase1,True,True,2026-04-19 09:32:34.283593416,,False,
outputs/window_size_study/5s/ready_packages/transformer/config.json,json,phase1,True,True,2026-04-19 09:32:34.283593416,reports/generated_report.md,True,
outputs/window_size_study/5s/ready_packages/transformer/feature_columns.json,json,phase1,True,True,2026-04-19 09:32:34.283593416,,True,
outputs/window_size_study/5s/ready_packages/transformer/metrics.json,json,phase1,True,True,2026-04-19 09:32:34.283593416,,True,
outputs/window_size_study/5s/ready_packages/transformer/model_manifest.json,json,phase1,True,True,2026-04-19 09:32:34.309295893,,True,
outputs/window_size_study/5s/ready_packages/transformer/predictions.parquet,parquet,phase1,True,True,2026-04-19 09:32:34.309295893,deployment_runtime/docs/deployment_contract.md;outputs/window_size_study/professor_graph_package/PROFESSOR_GRAPH_PACKAGE_SUMMARY.md;reports/generated_report.md,True,
outputs/window_size_study/5s/ready_packages/transformer/preprocessing.pkl,checkpoint,phase1,True,True,2026-04-19 09:32:34.283593416,,False,
outputs/window_size_study/5s/ready_packages/transformer/split_summary.json,json,phase1,True,True,2026-04-19 09:32:34.283593416,,True,
outputs/window_size_study/5s/ready_packages/transformer/thresholds.json,json,phase1,True,True,2026-04-19 09:32:34.283593416,,True,
outputs/window_size_study/5s/ready_packages/transformer/training_history.json,json,phase1,True,True,2026-04-19 09:32:34.283593416,,True,
outputs/window_size_study/5s/reports/attack_window_counts_per_scenario.csv,table,phase1,True,True,2026-04-19 17:43:06.767563820,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/autoencoder/anomaly_score_distribution.png,figure,phase1,True,True,2026-04-18 23:51:37.994154453,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/autoencoder/confusion_matrix.png,figure,phase1,True,True,2026-04-18 23:51:37.843159199,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/autoencoder/precision_recall_curve.png,figure,phase1,True,True,2026-04-18 23:51:37.762158632,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/autoencoder/roc_curve.png,figure,phase1,True,True,2026-04-18 23:51:37.664157391,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/autoencoder/threshold_visualization.png,figure,phase1,True,True,2026-04-18 23:51:38.229159117,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/autoencoder/training_validation_loss.png,figure,phase1,True,True,2026-04-18 23:51:38.107155085,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/class_balance_table.csv,table,phase1,True,True,2026-04-19 17:43:06.757554054,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/gru/anomaly_score_distribution.png,figure,phase1,True,True,2026-04-19 01:32:47.344603539,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/gru/confusion_matrix.png,figure,phase1,True,True,2026-04-19 01:32:47.127037048,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/gru/precision_recall_curve.png,figure,phase1,True,True,2026-04-19 01:32:47.012042284,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/gru/roc_curve.png,figure,phase1,True,True,2026-04-19 01:32:46.873039484,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/gru/threshold_visualization.png,figure,phase1,True,True,2026-04-19 01:32:47.767607689,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/gru/training_validation_loss.png,figure,phase1,True,True,2026-04-19 01:32:47.502607346,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/isolation_forest/anomaly_score_distribution.png,figure,phase1,True,True,2026-04-18 23:49:38.220335007,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/isolation_forest/confusion_matrix.png,figure,phase1,True,True,2026-04-18 23:49:38.085335016,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/isolation_forest/precision_recall_curve.png,figure,phase1,True,True,2026-04-18 23:49:38.010334969,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/isolation_forest/roc_curve.png,figure,phase1,True,True,2026-04-18 23:49:37.920335054,reports/generated_report.md,True,
