context_name,context_family,model_name,window_label,canonical_or_extension,generator_scope,precision,recall,f1,mean_latency_seconds,notes
heldout_synthetic_zero_day_like,zero_day_like,transformer,60s,canonical,chatgpt|claude|gemini|grok|human_authored,0.8256088946454161,0.5622083797226439,0.6612858491760344,3.7,New full heldout synthetic detector sweep from frozen packages.
heldout_synthetic_zero_day_like,zero_day_like,gru,60s,canonical,chatgpt|claude|gemini|grok|human_authored,0.7369971154386739,0.38352309998971074,0.4799831860749134,15.106666666666666,New full heldout synthetic detector sweep from frozen packages.
heldout_synthetic_zero_day_like,zero_day_like,autoencoder,60s,canonical,chatgpt|claude|gemini|grok|human_authored,0.04979893074213574,0.8226542913514174,0.09387408388659135,1.0,New full heldout synthetic detector sweep from frozen packages.
heldout_synthetic_zero_day_like,zero_day_like,isolation_forest,60s,canonical,chatgpt|claude|gemini|grok|human_authored,0.038064252969326084,0.8928632123748071,0.07290666812532792,1.0,New full heldout synthetic detector sweep from frozen packages.
heldout_synthetic_zero_day_like,zero_day_like,threshold_baseline,60s,canonical,chatgpt|claude|gemini|grok|human_authored,0.5030680581003372,0.4090849071334299,0.4083179396222337,46.4,New full heldout synthetic detector sweep from frozen packages.
heldout_synthetic_zero_day_like,zero_day_like,ttm_extension,60s,extension,chatgpt|claude|gemini|grok|human_authored,0.5083083032409752,0.2128318440215841,0.2832230483488842,1.0,New full heldout synthetic detector sweep from frozen packages.
heldout_synthetic_zero_day_like,zero_day_like,lstm,60s,canonical,chatgpt|claude|gemini|grok|human_authored,0.9235917625681406,0.3693089258562042,0.5247292206404414,15.4,New full heldout synthetic detector sweep from frozen packages.
heldout_synthetic_zero_day_like,zero_day_like,transformer,300s,canonical,chatgpt|claude|gemini|grok|human_authored,0.885528118063986,0.6637288930429392,0.7518313288783952,49.53333333333334,New full heldout synthetic detector sweep from frozen packages.
heldout_synthetic_zero_day_like,zero_day_like,gru,300s,canonical,chatgpt|claude|gemini|grok|human_authored,0.9260729002593353,0.6746675137034981,0.7721084406811101,65.0,New full heldout synthetic detector sweep from frozen packages.
heldout_synthetic_zero_day_like,zero_day_like,autoencoder,300s,canonical,chatgpt|claude|gemini|grok|human_authored,0.06022415426399143,0.9406504658702574,0.11316728348541547,1.0,New full heldout synthetic detector sweep from frozen packages.
heldout_synthetic_zero_day_like,zero_day_like,isolation_forest,300s,canonical,chatgpt|claude|gemini|grok|human_authored,0.030646731328104516,0.5360717612199927,0.05784848386907473,340.71428571428567,New full heldout synthetic detector sweep from frozen packages.
heldout_synthetic_zero_day_like,zero_day_like,threshold_baseline,300s,canonical,chatgpt|claude|gemini|grok|human_authored,0.7309099304896101,0.3811848292782662,0.48722908629986666,40.0,New full heldout synthetic detector sweep from frozen packages.
heldout_synthetic_zero_day_like,zero_day_like,lstm,300s,canonical,chatgpt|claude|gemini|grok|human_authored,0.9462548529950388,0.7184850373053194,0.8098852719607436,65.66666666666666,New full heldout synthetic detector sweep from frozen packages.
