column_name,category,source_artifact,used_in_training,metadata_or_feature,residualized
delta__pv_pv60_p_kw__min,pv,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__pv_pv60_terminal_i_a__last,pv,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__pv_pv60_terminal_i_a__mean,pv,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__pv_pv60_terminal_i_a__min,pv,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__pv_pv83_curtailment_frac__last,pv,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__pv_pv83_curtailment_frac__max,pv,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__pv_pv83_curtailment_frac__mean,pv,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__pv_pv83_p_kw__last,pv,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__pv_pv83_p_kw__mean,pv,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__pv_pv83_p_kw__min,pv,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__pv_pv83_terminal_i_a__last,pv,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__pv_pv83_terminal_i_a__max,pv,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__pv_pv83_terminal_i_a__mean,pv,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__pv_pv83_terminal_i_a__min,pv,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__pv_pv83_terminal_v_pu__min,pv,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__regulator_creg1a_tap_pos__last,regulator,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__regulator_creg1a_tap_pos__max,regulator,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__regulator_creg1a_tap_pos__mean,regulator,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__regulator_creg1a_tap_pos__min,regulator,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__regulator_creg3a_tap_pos__last,regulator,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__regulator_creg3a_tap_pos__max,regulator,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__regulator_creg3a_tap_pos__mean,regulator,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__regulator_creg3a_tap_pos__min,regulator,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
