window_label,window_seconds,model_name,canonical_or_extension,mean_precision,mean_recall,mean_f1,mean_false_positive_rate,mean_latency_seconds,bundle_count
5s,5,not_completed,blocked,,,,,,0
10s,10,threshold_baseline,canonical,0.41457003436399836,0.272965689542938,0.25120928212483157,0.1170664743355578,114.46666666666667,5
60s,60,transformer,canonical,0.8256088946454161,0.5622083797226439,0.6612858491760344,0.004523216341728107,3.7,5
300s,300,lstm,canonical,0.9462548529950388,0.7184850373053194,0.8098852719607436,0.0023591822976647948,65.66666666666666,5
