generator_source,dataset_id,scenario_count,accepted_scenario_count,precision,recall,f1,average_precision,roc_auc,mean_latency_seconds,median_latency_seconds,detected_scenarios,note
chatgpt,phase2_zero_day_like_bundle_2026_04_15_c_repaired,10,10,0.9047619047619048,0.7159420289855073,0.7993527508090615,0.7378317579305333,0.8603126569483207,2.2,1.0,10,Replay attempted raw finite residuals without clipping first. Missing feature columns backfilled: 0. True non-finite features: 0. Extreme finite features (>100 standard deviations from the saved benchmark standardizer): 1. Fallback score-stability clip used: False.
claude,claude_phase2_llm_benchmark_v2_repaired,10,10,0.9241706161137441,0.45348837209302323,0.608424336973479,0.5697890731593727,0.772538581787881,5.8,1.0,10,Replay attempted raw finite residuals without clipping first. Missing feature columns backfilled: 0. True non-finite features: 0. Extreme finite features (>100 standard deviations from the saved benchmark standardizer): 13. Fallback score-stability clip used: True.
gemini,phase2_llm_synthetic_benchmark_002_repaired,10,10,0.8561151079136691,0.4968684759916493,0.6287978863936592,0.6131214424081747,0.8262774018080796,25.0,1.0,8,Replay attempted raw finite residuals without clipping first. Missing feature columns backfilled: 0. True non-finite features: 0. Extreme finite features (>100 standard deviations from the saved benchmark standardizer): 17. Fallback score-stability clip used: False.
grok,phase2_llm_benchmark_grok_synthetic_03_repaired,10,10,0.8291666666666667,0.5801749271137027,0.6826758147512865,0.6152941887214997,0.7474735378311953,2.3333333333333335,1.0,9,Replay attempted raw finite residuals without clipping first. Missing feature columns backfilled: 0. True non-finite features: 0. Extreme finite features (>100 standard deviations from the saved benchmark standardizer): 7. Fallback score-stability clip used: False.
