generator_source,case_count_reported,case_count_recomputed,family_accuracy_reported,family_accuracy_recomputed,family_top3_accuracy_reported,family_top3_accuracy_recomputed,asset_accuracy_reported,asset_accuracy_recomputed,evidence_grounding_rate_reported,evidence_grounding_rate_recomputed,action_relevance_reported,action_relevance_recomputed,partial_alignment_score_reported,partial_alignment_score_recomputed
chatgpt,43,43,0.7441860465116279,0.7441860465116279,0.8372093023255814,0.8372093023255814,0.1395348837209302,0.13953488372093023,0.1998892580287929,0.1998892580287929,0.872093023255814,0.872093023255814,0.8088870431893688,0.8088870431893688
claude,36,36,0.8611111111111112,0.8611111111111112,0.9722222222222222,0.9722222222222222,0.2222222222222222,0.2222222222222222,0.1876984126984127,0.1876984126984127,0.7361111111111112,0.7361111111111112,0.8716666666666666,0.8716666666666666
gemini,29,29,0.896551724137931,0.896551724137931,0.9310344827586208,0.9310344827586207,0.2586206896551724,0.25862068965517243,0.3591954022988506,0.3591954022988506,0.7413793103448276,0.7413793103448276,0.896551724137931,0.896551724137931
grok,47,47,0.6595744680851063,0.6595744680851063,0.8297872340425532,0.8297872340425532,0.425531914893617,0.425531914893617,0.301418439716312,0.30141843971631205,0.6808510638297872,0.6808510638297872,0.7243794326241135,0.7243794326241135
